Team,Challenge,1st,2nd,5th,20th,100th,500th,AUPR, AUC
Team48,5_01,1.000000,1.000000,0.714286,0.689655,0.675676,0.036044,0.059499,0.610643
Team73,5_01,1.000000,1.000000,0.625000,0.769231,0.515464,0.023921,0.047202,0.571834
Team58,5_01,0.500000,0.500000,0.333333,0.087336,0.023935,0.008555,0.009617,0.527406
Team41,5_01,1.000000,1.000000,1.000000,0.869565,0.124069,0.013802,0.031332,0.556539
Team121,5_01,1.000000,0.400000,0.555556,0.666667,0.380228,0.014841,0.032335,0.575417
Team71,5_02,0.062500,0.062500,0.051546,0.104712,0.059988,0.006101,0.010641,0.534604
Team58,5_02,0.333333,0.285714,0.263158,0.127389,0.020442,0.005603,0.008489,0.526572
Team71,5_03,0.001916,0.003378,0.004394,0.002378,0.001868,0.001791,0.001838,0.502710
Team58,5_03,0.000925,0.001375,0.001212,0.001504,0.001724,0.001776,0.001751,0.497987
